defense,nom,attaque,papier_accuracy,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_micro,recall_micro,f1_micro,recall_benign,mcc_multi,mcc_binaire,tpr,fpr,tnr,fnr
ensemble,"Moyenne, poids optimises",PGD,,0.564350,0.327607,0.140844,0.154507,0.508914,0.564350,0.464365,0.564350,0.564350,0.564350,0.971200,0.289751,0.333233,0.264600,0.028800,0.971200,0.735400
ensemble,"Moyenne, poids optimises",DeepFool,,0.756700,0.877141,0.497359,0.554810,0.802441,0.756700,0.701380,0.756700,0.756700,0.756700,0.995300,0.658688,0.585297,0.519500,0.004700,0.995300,0.480500
ensemble,"Moyenne, poids optimises",JSMA,,0.540800,0.596360,0.125845,0.149938,0.617863,0.540800,0.425331,0.540800,0.540800,0.540800,0.988900,0.228814,0.237718,0.134700,0.011100,0.988900,0.865300
ensemble,"Moyenne, poids optimises",CW,,0.742450,0.801173,0.488522,0.566369,0.769049,0.742450,0.723152,0.742450,0.742450,0.742450,0.903500,0.622644,0.533751,0.606100,0.096500,0.903500,0.393900
baseline,Baseline lr reduit,Clean,,0.941600,0.924103,0.762217,0.797443,0.944646,0.941600,0.933286,0.941600,0.941600,0.941600,0.985600,0.918549,0.905860,0.918200,0.014400,0.985600,0.081800
baseline,Baseline lr reduit,FGSM,,0.478600,0.098518,0.073989,0.064879,0.350469,0.478600,0.359026,0.478600,0.478600,0.478600,0.919400,0.054181,0.052433,0.111500,0.080600,0.919400,0.888500
baseline,Baseline lr reduit,BIM,,0.465800,0.099140,0.072282,0.064306,0.350088,0.465800,0.354459,0.465800,0.465800,0.465800,0.893800,0.038505,0.029248,0.124900,0.106200,0.893800,0.875100
baseline,Baseline lr reduit,PGD,,0.482000,0.033753,0.064348,0.044243,0.252161,0.482000,0.331064,0.482000,0.482000,0.482000,0.963800,0.003455,0.037361,0.051500,0.036200,0.963800,0.948500
baseline,Baseline lr reduit,DeepFool,,0.525100,0.677088,0.246798,0.299512,0.514890,0.525100,0.417964,0.525100,0.525100,0.525100,0.941000,0.189824,0.132279,0.137800,0.059000,0.941000,0.862200
baseline,Baseline lr reduit,JSMA,,0.495600,0.177233,0.068121,0.048567,0.334392,0.495600,0.335854,0.495600,0.495600,0.495600,0.987300,0.012526,0.014664,0.016200,0.012700,0.987300,0.983800
baseline,Baseline lr reduit,CW,,0.700350,0.862198,0.459429,0.546883,0.743841,0.700350,0.669911,0.700350,0.700350,0.700350,0.914800,0.554645,0.459958,0.504700,0.085200,0.914800,0.495300
