attack,acc_test_complet,acc_test_equilibre,acc_papier,f1_macro_complet,f1_macro_equilibre,recall_benign_equilibre,n_equilibre,ecart_papier_complet,ecart_papier_equilibre
Clean,0.9978854716636373,0.9967507740488986,0.9811,0.8411325444126735,0.8740677895100386,0.9982205772447418,280990,0.016785471663637308,0.015650774048898586
FGSM,0.8675204119904215,0.6295668885013701,0.545,0.15022912712031036,0.16202397116120382,0.9890245204455674,280990,0.3225204119904215,0.08456688850137006
BIM,0.874153707817624,0.6366632264493398,0.45,0.16206489767893012,0.1499728570133262,0.9949464393750668,280990,0.424153707817624,0.1866632264493398
PGD,0.8209707356010117,0.4943378767927684,0.46,0.060451372423423994,0.044445110004908,0.9876579237695292,280990,0.3609707356010117,0.034337876792768396
DeepFool,0.8691973688006693,0.6676607708459376,0.53,0.32910652114705924,0.36336339224325026,0.9716573543542475,280990,0.3391973688006693,0.13766077084593753
JSMA,0.8305227777617495,0.4996583508309904,0.81,0.060519980244474775,0.04448428136012714,0.9993024662799388,280990,0.02052277776174949,-0.31034164916900964
CW,0.8413574815114009,0.7637246877113064,0.36,0.30044024600193336,0.37871771160129103,0.8813694437524467,280990,0.4813574815114009,0.40372468771130643
